chr	start	end	Direction	Mean_WMD	Min_WMD	Max_WMD	Q25_WMD	Median_WMD	Q75_WMD	Mean_Qval	Min_Qval	Max_Qval	Q25_Qval	Median_Qval	Q75_Qval
chr1	2319117	2319117	Hyper	7.752403174489332	1.1620608564240742	10.903649089165224	6.903001555651589	8.066999188324608	8.96334963722609	0.016635424315310197	1.239981101692201e-11	0.8360199540995835	2.3505212147851596e-06	4.144809539484642e-05	0.00339381599959815
chr1	3182669	3182669	Hypo	-6.803137407846313	-10.620773335739363	-2.059815180059688	-7.63158053512907	-6.823439650355361	-6.014521080588456	0.008571692504866066	5.858548627445828e-08	0.4964007002798162	0.000221937663986525	0.00099472905363665	0.0038493399421219
chr1	8314126	8314126	Hyper	14.3705380018559	3.0530856223493386	19.945665541070813	13.210560292056087	14.540020107295565	15.894852540112993	0.00581171845357249	1.5522574606393716e-09	0.5311161920559045	1.5635453126203214e-05	0.00014236094236729998	0.001367773294124275
chr1	8355175	8355175	Hyper	12.119813131778416	6.374288789202065	16.530237456186715	11.163188222841198	12.176435172179868	13.149120548530838	0.004477454782625262	5.417016033034421e-15	0.3108382577800678	1.558735744725052e-05	0.0002735522537798	0.00189440463603405
chr1	11501656	11501656	Hyper	7.9703970136064255	1.2246096784023108	11.87380158654725	7.097173877804202	8.1570432039819	8.970761257264508	0.0012418978166439047	3.9586218823992437e-10	0.2389071768586868	5.052603194973784e-06	3.868270631863619e-05	0.0002388767635092
chr1	16724760	16724760	Hyper	6.625141640204937	3.439263923451208	8.8943637122044	6.0935459970725665	6.680389848216412	7.15120919808745	0.0006117730786550455	1.341266035745339e-09	0.1680317900936475	2.97744920170375e-06	1.5708787975235394e-05	8.788228723427962e-05
chr1	18784416	18784416	Hypo	-16.910632757732238	-28.10598619146049	-4.832137806210557	-19.088643678621235	-16.846948228040095	-14.818158667094345	0.019767836512762014	1.3426690696023251e-06	0.7745974392550697	0.0014977102627454502	0.00589167988321145	0.016667343949886525
chr1	18784422	18784422	Hypo	-19.544689023916156	-26.53144959693947	-6.8557472061513085	-21.406538508487337	-19.787233334695035	-17.862351827746973	0.006944380681190685	1.2702288482158944e-07	0.8362178693203831	6.782772013537384e-05	0.00036104871030685	0.00183420445891215
chr1	18784425	18784425	Hypo	-16.16317748346766	-26.18360475338909	-5.682588423719026	-18.1195981968964	-16.233001096661212	-14.195426702900207	0.0179590694799265	5.913228913726819e-06	0.6352851705494185	0.00136306408723425	0.0048382405717299504	0.015693285148105876
chr1	18784430	18784430	Hypo	-15.894117366985418	-25.9998059505382	-5.604193635695753	-17.7935068340754	-15.875813551740531	-14.059045996991676	0.015316750337824012	1.6482667302620794e-06	0.6418436617692256	0.001237228569102025	0.0052220992567545005	0.014059983534391975
chr1	18784434	18784434	Hypo	-16.59802477277906	-26.56829697952373	-6.059342649665345	-18.726179193380087	-16.65267922855652	-14.464959389575467	0.007878946255183749	1.1702234676489748e-07	0.5549240356755335	0.00043736918741045	0.0018635859640267999	0.005813511844398125
chr1	18784437	18784437	Hypo	-12.760283223138405	-21.178182530118995	-3.7463399022355848	-14.469543640131521	-12.703916961389604	-11.03659051411438	0.018986181597457148	2.2467691606576294e-06	0.5347525516763804	0.0017165428507822	0.00657301837879885	0.0192615212105713
chr1	18784455	18784455	Hypo	-12.549824814383236	-21.622900786785905	-4.447969980962185	-14.387696870102904	-12.502143953742813	-10.6312797578353	0.019288672876982556	1.254068698701017e-06	0.4297760416856799	0.001628455953635375	0.0062156219759168	0.020846839927677475
chr1	18784484	18784484	Hypo	-12.525933615509647	-20.713938316319677	-3.740187999736322	-14.348613526365025	-12.579235123441087	-10.753669578145043	0.019079794451923256	2.6780073184702847e-06	0.9269927302175572	0.002025386729964725	0.0063306701033881	0.019520606823242675
chr1	18784540	18784540	Hypo	-12.331331290994653	-18.980671629711992	-2.251235081181868	-13.981936387263303	-12.394625987020614	-10.80428080787862	0.004349975004861955	3.208553992330775e-09	0.6929794590191083	3.949704333051063e-05	0.0001911573846395	0.0009266819732602
